source,target,shared_seasons,weighted_core,source_name,target_name,source_community,target_community
chapmma01,daviskh01,5,1.2017259124376534,Matt Chapman,Khris Davis,4,4
anderbr04,suzukku01,5,1.2007879417332585,Brett Anderson,Kurt Suzuki,2,2
grosswa01,langfri01,8,1.1997916905331023,Wayne Gross,Rick Langford,1,1
langfri01,reverda01,4,1.19767934990575,Rick Langford,Dave Revering,1,1
crosbbo01,kotsama01,4,1.197301267459889,Bobby Crosby,Mark Kotsay,2,2
johnsjo04,langfri01,2,1.1921224001594788,John Henry Johnson,Rick Langford,1,1
crispco01,pennicl01,3,1.1888074028109217,Coco Crisp,Cliff Pennington,5,5
blankla02,steinte01,6,1.1851954150384238,Lance Blankenship,Terry Steinbach,1,1
blankla02,henderi01,5,1.1851954150384238,Lance Blankenship,Rickey Henderson,1,1
blankla02,mcgwima01,6,1.1851954150384238,Lance Blankenship,Mark McGwire,1,1
crosbbo01,duchsju01,6,1.1844328145344454,Bobby Crosby,Justin Duchscherer,2,2
cahiltr01,crispco01,2,1.1823752064223934,Trevor Cahill,Coco Crisp,2,5
crispco01,gonzagi01,2,1.1823752064223934,Coco Crisp,Gio Gonzalez,5,2
holtzke01,tenacge01,4,1.181599275917617,Ken Holtzman,Gene Tenace,3,3
bradeda01,davisra01,3,1.175179281125461,Dallas Braden,Rajai Davis,2,2
bailean01,davisra01,2,1.1662737710092324,Andrew Bailey,Rajai Davis,2,2
kotsama01,zitoba01,3,1.1641186273152235,Mark Kotsay,Barry Zito,2,2
balfogr01,crispco01,3,1.1580574760386093,Grant Balfour,Coco Crisp,5,5
donaljo02,reddijo01,3,1.1575232414710817,Josh Donaldson,Josh Reddick,5,5
chaveer01,streehu01,4,1.1516943988535904,Eric Chavez,Huston Street,2,2
blantjo01,harderi01,5,1.1500316626727378,Joe Blanton,Rich Harden,2,2
hernara02,hudsoti01,5,1.1471561781440736,Ramon Hernandez,Tim Hudson,2,2
chaveer01,hernara02,5,1.1471561781440736,Eric Chavez,Ramon Hernandez,2,2
hernara02,tejadmi01,5,1.1471561781440736,Ramon Hernandez,Miguel Tejada,2,2
henderi01,ontivst02,2,1.1469100061628972,Rickey Henderson,Steve Ontiveros,1,1
javiest01,ontivst02,5,1.1469100061628972,Stan Javier,Steve Ontiveros,1,1
swishni01,zitoba01,3,1.1460769520935497,Nick Swisher,Barry Zito,2,2
anderbr04,cahiltr01,4,1.1456720777271727,Brett Anderson,Trevor Cahill,2,2
phillto02,stewada01,4,1.1408422459893046,Tony Phillips,Dave Stewart,1,1
gallemi01,mooremi01,3,1.1388308552203168,Mike Gallego,Mike Moore,1,1
mossbr01,reddijo01,3,1.1366825193948635,Brandon Moss,Josh Reddick,5,5
henderi01,mccatst01,6,1.136285456403129,Rickey Henderson,Steve McCatty,1,1
parkeja02,reddijo01,2,1.13529880093609,Jarrod Parker,Josh Reddick,5,5
johnsjo04,keougma02,2,1.130241212040667,John Henry Johnson,Matt Keough,1,1
canhama01,hendrli01,5,1.1228926127706425,Mark Canha,Liam Hendriks,4,4
sweenry01,zieglbr01,4,1.1222144537529413,Ryan Sweeney,Brad Ziegler,2,2
harderi01,streehu01,4,1.122171446558361,Rich Harden,Huston Street,2,2
gatesbr01,steinte01,4,1.1202522984700305,Brent Gates,Terry Steinbach,1,1
gatesbr01,henderi01,3,1.1202522984700305,Brent Gates,Rickey Henderson,1,1
bradeda01,sweenry01,4,1.1190283025606895,Dallas Braden,Ryan Sweeney,2,2
byrneer01,chaveer01,6,1.1168120221262627,Eric Byrnes,Eric Chavez,2,2
crosbbo01,ellisma01,6,1.1149616246369163,Bobby Crosby,Mark Ellis,2,2
blantjo01,kendaja01,3,1.1138079654160662,Joe Blanton,Jason Kendall,2,2
gelofza01,searsjp01,2,1.1105622864243554,Zack Gelof,JP Sears,4,4
colonba01,crispco01,2,1.1062269294796014,Bartolo Colon,Coco Crisp,5,5
harenda01,streehu01,3,1.1046646958832933,Dan Haren,Huston Street,2,2
giambja01,heredgi01,4,1.1001617141702043,Jason Giambi,Gil Heredia,2,2
essiaji01,keougma02,3,1.0995968472686193,Jim Essian,Matt Keough,1,1
essiaji01,langfri01,4,1.0995968472686193,Jim Essian,Rick Langford,1,1
hendrli01,olsonma02,5,1.0989528042891101,Liam Hendriks,Matt Olson,4,4
hendrli01,laurera01,3,1.0979815807421727,Liam Hendriks,Ramon Laureano,4,4
holtzke01,northbi01,3,1.0932195705166352,Ken Holtzman,Bill North,3,3
rookebr01,searsjp01,2,1.0916123019571295,Brent Rooker,JP Sears,4,4
bartoda02,custja01,4,1.0893700136627162,Daric Barton,Jack Cust,2,2
colonba01,donaljo02,2,1.0845496875678544,Bartolo Colon,Josh Donaldson,5,5
cansejo01,griffal01,3,1.0829787234042554,Jose Canseco,Alfredo Griffin,1,1
harderi01,harenda01,3,1.0820996734476134,Rich Harden,Dan Haren,2,2
armasto01,grosswa01,6,1.0809048494485123,Tony Armas,Wayne Gross,1,1
mondari01,odombl01,4,1.0780596270426848,Rick Monday,Blue Moon Odom,3,3
anderbr04,bailean01,3,1.0769140678593847,Brett Anderson,Andrew Bailey,2,2
mcgwima01,mooremi01,4,1.075561193111931,Mark McGwire,Mike Moore,1,1
holtzke01,hunteca01,3,1.0745199326900818,Ken Holtzman,Catfish Hunter,3,3
keougma02,reverda01,4,1.0737257045412136,Matt Keough,Dave Revering,1,1
grosswa01,henderi01,5,1.0736799965284376,Wayne Gross,Rickey Henderson,1,1
fingero01,northbi01,4,1.0721732801037607,Rollie Fingers,Bill North,3,3
bordimi01,gatesbr01,4,1.0717941486902949,Mike Bordick,Brent Gates,1,1
olsonma02,petityu01,4,1.0691852026951483,Matt Olson,Yusmeiro Petit,4,4
chapmma01,petityu01,4,1.0691852026951483,Matt Chapman,Yusmeiro Petit,4,4
laurera01,petityu01,4,1.0691852026951483,Ramon Laureano,Yusmeiro Petit,4,4
laurera01,montafr01,5,1.067781747762719,Ramon Laureano,Frankie Montas,4,4
reddijo01,semiema01,2,1.0652329749103941,Josh Reddick,Marcus Semien,5,4
laurera01,manaese01,4,1.0636354426081023,Ramon Laureano,Sean Manaea,4,4
langfri01,murphdw01,9,1.0627683073437195,Rick Langford,Dwayne Murphy,1,1
anderbr04,bradeda01,3,1.061148302093619,Brett Anderson,Dallas Braden,2,2
bassich01,murphse01,3,1.0609049751564026,Chris Bassitt,Sean Murphy,4,4
murphse01,olsonma02,3,1.0609049751564026,Sean Murphy,Matt Olson,4,4
chapmma01,murphse01,3,1.0609049751564026,Matt Chapman,Sean Murphy,4,4
phillto02,youngcu01,7,1.0574884046789228,Tony Phillips,Curt Young,1,1
murphdw01,norrimi01,6,1.0546118198776397,Dwayne Murphy,Mike Norris,1,1
berroge01,henderi01,2,1.0539175829013265,Geronimo Berroa,Rickey Henderson,1,1
berroge01,javiest01,2,1.0539175829013265,Geronimo Berroa,Stan Javier,1,1
blantjo01,streehu01,4,1.052391968610566,Joe Blanton,Huston Street,2,2
custja01,zieglbr01,3,1.051267780648498,Jack Cust,Brad Ziegler,2,2
canhama01,murphse01,3,1.049120463371891,Mark Canha,Sean Murphy,4,4
canhama01,petityu01,4,1.0489967773923219,Mark Canha,Yusmeiro Petit,4,4
steinte01,welchbo01,7,1.048730399935919,Terry Steinbach,Bob Welch,1,1
chapmma01,hendrli01,4,1.0431388508007382,Matt Chapman,Liam Hendriks,4,4
hunteca01,mondari01,4,1.0389600852142091,Catfish Hunter,Rick Monday,3,3
henderi01,phillto02,4,1.0386461383421186,Rickey Henderson,Tony Phillips,1,1
bailean01,sweenry01,3,1.0367532272270692,Andrew Bailey,Ryan Sweeney,2,2
cansejo01,murphdw01,3,1.0365570599613152,Jose Canseco,Dwayne Murphy,1,1
ellisma01,sweenry01,4,1.0362689396678786,Mark Ellis,Ryan Sweeney,2,2
cespeyo01,crispco01,3,1.0356805624049776,Yoenis Cespedes,Coco Crisp,5,5
heaveda01,langfri01,3,1.0351431201802248,Dave Heaverlo,Rick Langford,1,1
lowrije01,semiema01,3,1.0345697094450164,Jed Lowrie,Marcus Semien,4,4
hernara02,zitoba01,4,1.0343615653494609,Ramon Hernandez,Barry Zito,2,2
cahiltr01,ellisma01,3,1.0308279359608958,Trevor Cahill,Mark Ellis,2,2
cansejo01,weisswa01,6,1.027809387339757,Jose Canseco,Walt Weiss,1,1
fingero01,hunteca01,7,1.027438269058341,Rollie Fingers,Catfish Hunter,3,3
cansejo01,davismi02,3,1.0268858800773695,Jose Canseco,Mike Davis,1,1
laceybo01,pagemi02,4,1.0266594276877352,Bob Lacey,Mitchell Page,1,1
bluevi01,holtzke01,4,1.0264967377271046,Vida Blue,Ken Holtzman,3,3
epstemi01,hunteca01,2,1.02310343237823,Mike Epstein,Catfish Hunter,3,3
epstemi01,rudijo01,2,1.02310343237823,Mike Epstein,Joe Rudi,3,3
campabe01,epstemi01,2,1.02310343237823,Bert Campaneris,Mike Epstein,3,3
epstemi01,jacksre01,2,1.02310343237823,Mike Epstein,Reggie Jackson,3,3
bandosa01,epstemi01,2,1.02310343237823,Sal Bando,Mike Epstein,3,3
mcgwima01,weisswa01,6,1.0223073240660294,Mark McGwire,Walt Weiss,1,1
crispco01,mccarbr01,2,1.021647193044573,Coco Crisp,Brandon McCarthy,5,5
crispco01,donaljo02,4,1.020010703059758,Coco Crisp,Josh Donaldson,5,5
cespeyo01,parkeja02,2,1.0192767014885762,Yoenis Cespedes,Jarrod Parker,5,5
bradeda01,cahiltr01,3,1.0178377205422893,Dallas Braden,Trevor Cahill,2,2
davismi02,heathmi02,6,1.0169065566828248,Mike Davis,Mike Heath,1,1
brosisc01,steinte01,6,1.0155584749334348,Scott Brosius,Terry Steinbach,1,1
kendaja01,streehu01,3,1.0154530776260318,Jason Kendall,Huston Street,2,2
fingero01,holtzke01,4,1.015096331252645,Rollie Fingers,Ken Holtzman,3,3
stewada01,youngcu01,6,1.0113868928945977,Dave Stewart,Curt Young,1,1
chapmma01,treinbl01,3,1.0087443591164595,Matt Chapman,Blake Treinen,4,4
byrneer01,zitoba01,6,1.0083129262853947,Eric Byrnes,Barry Zito,2,2
hernara02,muldema01,4,1.0072997096793577,Ramon Hernandez,Mark Mulder,2,2
langfri01,mccatst01,9,1.0071675514375784,Rick Langford,Steve McCatty,1,1
crispco01,mossbr01,3,1.0041176778963044,Coco Crisp,Brandon Moss,5,5
blankla02,bordimi01,4,0.9966768497722883,Lance Blankenship,Mike Bordick,1,1
bradeda01,ellisma01,5,0.9914171437019967,Dallas Braden,Mark Ellis,2,2
canhama01,manaese01,6,0.9899488231610523,Mark Canha,Sean Manaea,4,4
duchsju01,kotsama01,4,0.9893833095839504,Justin Duchscherer,Mark Kotsay,2,2
gallemi01,mcgwima01,7,0.9892947710979081,Mike Gallego,Mark McGwire,1,1
donaljo02,mossbr01,3,0.9882109036743394,Josh Donaldson,Brandon Moss,5,5
bordimi01,javiest01,3,0.9846082934989202,Mike Bordick,Stan Javier,1,1
montafr01,olsonma02,5,0.9836481745880499,Frankie Montas,Matt Olson,4,4
cansejo01,youngcu01,7,0.9830986917340561,Jose Canseco,Curt Young,1,1
semiema01,treinbl01,3,0.981826458712691,Marcus Semien,Blake Treinen,4,4
duchsju01,suzukku01,3,0.9810156151731326,Justin Duchscherer,Kurt Suzuki,2,2
bailean01,cahiltr01,3,0.9809719073606866,Andrew Bailey,Trevor Cahill,2,2
eckerde01,gallemi01,6,0.9800696788469856,Dennis Eckersley,Mike Gallego,1,1
northbi01,washicl01,3,0.978341913255741,Bill North,Claudell Washington,3,3
tenacge01,washicl01,3,0.978341913255741,Gene Tenace,Claudell Washington,3,3
duchsju01,streehu01,4,0.9773898136701636,Justin Duchscherer,Huston Street,2,2
montafr01,murphse01,4,0.9764194702185245,Frankie Montas,Sean Murphy,4,4
hunteca01,odombl01,7,0.9763470364908817,Catfish Hunter,Blue Moon Odom,3,3
stewada01,weisswa01,6,0.9761488707345909,Dave Stewart,Walt Weiss,1,1
crispco01,parkeja02,2,0.9759101546478806,Coco Crisp,Jarrod Parker,5,5
bartoda02,cahiltr01,3,0.9753488298524989,Daric Barton,Trevor Cahill,2,2
lansfca01,mooremi01,4,0.9752450980392157,Carney Lansford,Mike Moore,1,1
byrneer01,hudsoti01,5,0.971583806358628,Eric Byrnes,Tim Hudson,2,2
cespeyo01,mossbr01,3,0.969555447571659,Yoenis Cespedes,Brandon Moss,5,5
laceybo01,langfri01,4,0.9679060523502014,Bob Lacey,Rick Langford,1,1
essiaji01,johnsjo04,2,0.966642301814074,Jim Essian,John Henry Johnson,1,1
bartoda02,suzukku01,7,0.9647351883286794,Daric Barton,Kurt Suzuki,2,2
gatesbr01,mcgwima01,4,0.9638646332717926,Brent Gates,Mark McGwire,1,1
davisra01,ellisma01,3,0.9637070469455216,Rajai Davis,Mark Ellis,2,2
bassich01,manaese01,5,0.9610913838056319,Chris Bassitt,Sean Manaea,4,4
colonba01,reddijo01,2,0.9584368742309828,Bartolo Colon,Josh Reddick,5,5
olsonma02,treinbl01,3,0.9549085583089225,Matt Olson,Blake Treinen,4,4
blantjo01,zitoba01,3,0.9528904954491906,Joe Blanton,Barry Zito,2,2
lowrije01,treinbl01,2,0.9522167682685456,Jed Lowrie,Blake Treinen,4,4
custja01,sweenry01,3,0.9509281641097116,Jack Cust,Ryan Sweeney,2,2
donaljo02,norride01,3,0.9469295206226491,Josh Donaldson,Derek Norris,5,5
norride01,reddijo01,3,0.9469295206226491,Derek Norris,Josh Reddick,5,5
davisra01,zieglbr01,3,0.9462042851685152,Rajai Davis,Brad Ziegler,2,2
semiema01,vogtst01,3,0.9449983708048223,Marcus Semien,Stephen Vogt,4,5
corsiji01,mcgwima01,5,0.9363614215325811,Jim Corsi,Mark McGwire,1,1
bluevi01,washicl01,3,0.9351871513509791,Vida Blue,Claudell Washington,3,3
bassich01,hendrli01,4,0.9342805131265142,Chris Bassitt,Liam Hendriks,4,4
armasto01,mccatst01,6,0.93180795400857,Tony Armas,Steve McCatty,1,1
gelofza01,rookebr01,2,0.9312519415967693,Zack Gelof,Brent Rooker,4,4
heaveda01,johnsjo04,2,0.9303774337165258,Dave Heaverlo,John Henry Johnson,1,1
streehu01,zitoba01,2,0.9289324783100716,Huston Street,Barry Zito,2,2
