playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank
blairca01,Carson Blair,2015,2015,1,0.06190223603890734,0.06190223603890734,0.06190223603890734,-0.44,0.0,-0.44,0.0,0.0,35.0,0.0,2015,Hitter,C,C06,-0.44,0.0,968
lucasea01,Easton Lucas,2023,2024,2,0.06121488326910307,0.042876595744680855,0.030607441634551535,-0.35,0.0,-0.11,0.0,0.0,0.0,10.333333333333334,2023,Pitcher,P,C07,-0.11,0.0,969
haughga01,Gary Haught,1997,1997,1,0.060922568045755014,0.060922568045755014,0.060922568045755014,-0.1,0.0,-0.1,0.0,0.0,0.0,11.333333333333334,1997,Pitcher,P,C03,-0.1,0.0,970
francje01,Jeff Francis,2014,2014,1,0.06053099488030996,0.06053099488030996,0.06053099488030996,-0.38,0.0,-0.38,0.0,0.0,1.0,13.333333333333334,2014,Pitcher,P,C06,-0.38,0.0,971
kingemi01,Mike Kingery,1992,1992,1,0.060331844286264695,0.060331844286264695,0.060331844286264695,-0.26,0.0,-0.26,0.0,0.0,29.0,0.0,1992,Hitter,OF,C03,-0.26,0.0,972
putnada01,Danny Putnam,2007,2007,1,0.05963738868977968,0.05963738868977968,0.05963738868977968,-0.23,0.0,-0.23,0.0,0.0,31.0,0.0,2007,Hitter,OF,C04,-0.23,0.0,973
mcnearu01,Rusty McNealy,1983,1983,1,0.05947373522000388,0.05947373522000388,0.05947373522000388,-0.02,0.0,-0.02,0.0,0.0,4.0,0.0,1983,Hitter,OF,C02,-0.02,0.0,974
montzlu01,Luke Montz,2013,2013,1,0.05924413448359269,0.05924413448359269,0.05924413448359269,-0.26,0.0,-0.26,0.0,0.0,30.0,0.0,2013,Hitter,1B,C06,-0.26,0.0,975
josepco01,Corban Joseph,2019,2019,1,0.059034506556245696,0.059034506556245696,0.059034506556245696,-0.22,0.0,-0.22,0.0,0.0,40.0,0.0,2019,Hitter,2B,C07,-0.22,0.0,976
windsja01,Jason Windsor,2006,2006,1,0.05899273969677559,0.05899273969677559,0.05899273969677559,-0.28,0.0,-0.28,0.0,0.0,0.0,13.666666666666666,2006,Pitcher,P,C04,-0.28,0.0,977
harpebr01,Brian Harper,1987,1995,2,0.057356555985946786,0.04623533773380831,0.028678277992973393,-0.4,0.0,-0.17,0.0,0.0,26.0,0.0,1995,Hitter,C,C03,-0.17,0.0,978
allisda01,Dana Allison,1991,1991,1,0.05667861961615693,0.05667861961615693,0.05667861961615693,-0.36,0.0,-0.36,0.0,0.0,0.0,11.0,1991,Pitcher,P,C03,-0.36,0.0,979
iwamuak01,Akinori Iwamura,2010,2010,1,0.05545908176359077,0.05545908176359077,0.05545908176359077,-0.41,0.0,-0.41,0.0,0.0,36.0,0.0,2010,Hitter,3B,C05,-0.41,0.0,980
nossejo01,Joe Nossek,1969,1969,1,0.055200107711467904,0.055200107711467904,0.055200107711467904,-0.12,0.0,-0.12,0.0,0.0,6.0,0.0,1969,Hitter,OF,C01,-0.12,0.0,981
woodmi01,Mike Wood,2003,2003,1,0.053712158267327254,0.053712158267327254,0.053712158267327254,-0.73,0.0,-0.73,0.0,0.0,0.0,13.666666666666666,2003,Pitcher,P,C04,-0.73,0.0,982
saxst01,Steve Sax,1994,1994,1,0.053668313477866506,0.053668313477866506,0.053668313477866506,-0.04,0.0,-0.04,0.0,0.0,24.0,0.0,1994,Hitter,2B,C03,-0.04,0.0,983
righeda01,Dave Righetti,1994,1994,1,0.05354593490237985,0.05354593490237985,0.05354593490237985,-0.53,0.0,-0.53,0.0,0.0,0.0,7.0,1994,Pitcher,P,C03,-0.53,0.0,984
jarvike01,Kevin Jarvis,1999,1999,1,0.05312796709343915,0.05312796709343915,0.05312796709343915,-0.61,0.0,-0.61,0.0,0.0,0.0,14.0,1999,Pitcher,P,C04,-0.61,0.0,985
garciri01,Rico Garcia,2023,2023,1,0.05285957446808511,0.05285957446808511,0.05285957446808511,-0.21,0.0,-0.21,0.0,0.0,0.0,8.666666666666666,2023,Pitcher,P,C07,-0.21,0.0,986
harikti01,Tim Harikkala,2005,2005,1,0.05200348621854233,0.05200348621854233,0.05200348621854233,-0.06,0.0,-0.06,0.0,0.0,0.0,12.666666666666666,2005,Pitcher,P,C04,-0.06,0.0,987
murtoma01,Matt Murton,2008,2008,1,0.05093983054703683,0.05093983054703683,0.05093983054703683,-0.43,0.0,-0.43,0.0,0.0,31.0,0.0,2008,Hitter,OF,C04,-0.43,0.0,988
mcnulbi01,Bill McNulty,1969,1972,2,0.05031629570827267,0.028105961156551888,0.025158147854136333,-0.4,0.0,-0.17,0.0,0.0,29.0,0.0,1969,Hitter,OF,C01,-0.17,0.0,989
callabe01,Ben Callahan,1983,1983,1,0.05024858081851141,0.05024858081851141,0.05024858081851141,-0.93,0.0,-0.93,0.0,0.0,0.0,9.333333333333334,1983,Pitcher,P,C02,-0.93,0.0,990
mccovwi01,Willie McCovey,1976,1976,1,0.050165871527909106,0.050165871527909106,0.050165871527909106,-0.17,0.0,-0.17,0.0,0.0,27.0,0.0,1976,Hitter,,C01,-0.17,0.0,991
doughji01,Jim Dougherty,1998,1998,1,0.04939733261616323,0.04939733261616323,0.04939733261616323,-0.25,0.0,-0.25,0.0,0.0,0.0,12.0,1998,Pitcher,P,C03,-0.25,0.0,992
valdece01,Cesar Valdez,2017,2017,1,0.04821501014198784,0.04821501014198784,0.04821501014198784,-0.28,0.0,-0.28,0.0,0.0,0.0,9.333333333333334,2017,Pitcher,P,C07,-0.28,0.0,993
manrifr01,Fred Manrique,1991,1991,1,0.04775366422385077,0.04775366422385077,0.04775366422385077,-0.08,0.0,-0.08,0.0,0.0,23.0,0.0,1991,Hitter,SS,C03,-0.08,0.0,994
rossco01,Cody Ross,2015,2015,1,0.04770035407781217,0.04770035407781217,0.04770035407781217,-0.45,0.0,-0.45,0.0,0.0,25.0,0.0,2015,Hitter,OF,C06,-0.45,0.0,995
witmero01,Ron Witmeyer,1991,1991,1,0.04766672218520986,0.04766672218520986,0.04766672218520986,-0.45,0.0,-0.45,0.0,0.0,19.0,0.0,1991,Hitter,1B,C03,-0.45,0.0,996
wilsoto02,Tom Wilson,2001,2001,1,0.04736449174793699,0.04736449174793699,0.04736449174793699,-0.17,0.0,-0.17,0.0,0.0,24.0,0.0,2001,Hitter,C,C04,-0.17,0.0,997
ramired01,Edwar Ramirez,2010,2010,1,0.04694950166112958,0.04694950166112958,0.04694950166112958,-0.13,0.0,-0.13,0.0,0.0,0.0,11.0,2010,Pitcher,P,C05,-0.13,0.0,998
martico01,Cody Martin,2015,2015,1,0.04665040507014232,0.04665040507014232,0.04665040507014232,-0.63,0.0,-0.63,0.0,0.0,0.0,9.0,2015,Pitcher,P,C06,-0.63,0.0,999
lysanri01,Rick Lysander,1980,1980,1,0.04627622221482188,0.04627622221482188,0.04627622221482188,-0.33,0.0,-0.33,0.0,0.0,0.0,13.666666666666666,1980,Pitcher,P,C02,-0.33,0.0,1000
davidma02,Matt Davidson,2022,2022,1,0.045877575460310294,0.045877575460310294,0.045877575460310294,-0.51,0.0,-0.51,0.0,0.0,24.0,0.0,2022,Hitter,3B,C07,-0.51,0.0,1001
bowieji01,Jim Bowie,1994,1994,1,0.04408708597780082,0.04408708597780082,0.04408708597780082,-0.15,0.0,-0.15,0.0,0.0,15.0,0.0,1994,Hitter,1B,C03,-0.15,0.0,1002
laxtobr01,Brett Laxton,1999,1999,1,0.04400274432235669,0.04400274432235669,0.04400274432235669,-0.4,0.0,-0.4,0.0,0.0,0.0,9.666666666666666,1999,Pitcher,P,C04,-0.4,0.0,1003
bradlbe01,Bert Bradley,1983,1983,1,0.04363863518969864,0.04363863518969864,0.04363863518969864,-0.26,0.0,-0.26,0.0,0.0,0.0,8.333333333333334,1983,Pitcher,P,C02,-0.26,0.0,1004
thompke01,Kevin Thompson,2007,2007,1,0.04355720545098677,0.04355720545098677,0.04355720545098677,-0.48,0.0,-0.48,0.0,0.0,15.0,0.0,2007,Hitter,OF,C04,-0.48,0.0,1005
castrra02,Ramon Castro,2004,2004,1,0.04244165878271838,0.04244165878271838,0.04244165878271838,-0.16,0.0,-0.16,0.0,0.0,16.0,0.0,2004,Hitter,3B,C04,-0.16,0.0,1006
camacer01,Ernie Camacho,1980,1980,1,0.042381471114342255,0.042381471114342255,0.042381471114342255,-0.17,0.0,-0.17,0.0,0.0,0.0,11.666666666666666,1980,Pitcher,P,C02,-0.17,0.0,1007
tomka01,Ka'ai Tom,2021,2021,1,0.04218325791855204,0.04218325791855204,0.04218325791855204,-0.29000000000000004,0.0,-0.29000000000000004,0.0,0.0,16.0,1.0,2021,Hitter,OF,C07,-0.29000000000000004,0.0,1008
