playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank,community_id,layout_x,layout_y,community_label
lowrije01,Jed Lowrie,2013,2022,7,5.386111296837352,0.9817288684861455,0.7694444709767645,8.97,10.71,3.95,2.006524182245545,1.0,3618.0,0.0,2017,Hitter,2B,C07,3.4,1.0,51,4,0.8720105416384782,0.6630783841655539,Matt Chapman / Marcus Semien / Matt Olson
duchsju01,Justin Duchscherer,2003,2010,7,1.926257317503265,0.5875748262100592,0.2751796167861807,10.58,10.65,3.7800000000000002,2.2941329088937517,0.9356435643564357,6.0,440.0,2008,Pitcher,P,C04,3.7800000000000002,0.9356435643564357,52,2,0.7043941503972168,0.29034705590523013,Eric Chavez / Tim Hudson / Barry Zito
mccatst01,Steve McCatty,1977,1985,9,4.664219344529279,0.810083364690712,0.5182465938365866,9.27,10.26,4.5,1.7616979976572544,0.6746626686656672,0.0,1188.3333333333333,1981,Pitcher,P,C02,4.5,0.6746626686656672,53,1,0.2505304103052381,0.1125674884650082,Rickey Henderson / Mark McGwire / Dwayne Murphy
bassich01,Chris Bassitt,2015,2021,6,2.8035767130188276,0.7961538461538463,0.46726278550313793,9.75,9.92,3.98,2.2047582937391974,1.0,9.0,526.0,2020,Pitcher,P,C07,2.15,1.0,54,4,0.9482817177699171,0.6691057187462238,Matt Chapman / Marcus Semien / Matt Olson
anderbr04,Brett Anderson,2009,2019,7,3.0896664337772153,0.7741650744449882,0.4413809191110308,9.18,9.83,3.06,1.8454043292333953,0.5978260869565217,16.0,707.0,2009,Pitcher,P,C05,2.2,0.5978260869565217,55,2,0.7105854203306403,0.2780309266679759,Eric Chavez / Tim Hudson / Barry Zito
gallemi01,Mike Gallego,1985,1995,8,4.21409679759039,0.9056962025316457,0.5267620996987987,9.45,9.809999999999999,4.13,1.725029067028875,0.7619926199261993,2151.0,0.0,1991,Hitter,2B,C03,4.13,0.7619926199261993,56,1,0.4181030195992779,0.12814730251339435,Rickey Henderson / Mark McGwire / Dwayne Murphy
javiest01,Stan Javier,1986,1995,7,3.8597102904541227,1.0,0.551387184350589,9.23,9.780000000000001,3.45,2.0894752747006224,0.9773371104815866,2115.0,0.0,1994,Hitter,OF,C03,3.45,0.9773371104815866,57,1,0.46330272306540515,0.0695794294255505,Rickey Henderson / Mark McGwire / Dwayne Murphy
cahiltr01,Trevor Cahill,2009,2018,4,2.9671781204570444,0.8331703957357753,0.7417945301142611,9.76,9.76,3.9499999999999997,1.9767142305976177,0.7168784029038112,12.0,693.0,2010,Pitcher,P,C05,3.9499999999999997,0.7168784029038112,58,2,0.760384046948255,0.27210046453624975,Eric Chavez / Tim Hudson / Barry Zito
swishni01,Nick Swisher,2004,2007,4,2.8764459669309934,1.0,0.7191114917327484,9.16,9.54,4.35,2.0561187930977334,0.910041841004184,1924.0,0.0,2007,Hitter,OF,C04,4.35,0.910041841004184,59,2,0.6922248451176589,0.30257070498542643,Eric Chavez / Tim Hudson / Barry Zito
norrimi01,Mike Norris,1975,1990,10,4.138141075605137,0.8580292363955726,0.41381410756051373,8.08,9.41,5.87,1.2962524640728441,0.6670454545454545,1.0,1124.3333333333333,1980,Pitcher,P,C02,5.87,0.6670454545454545,60,1,0.19547259504344075,0.12809210294871406,Rickey Henderson / Mark McGwire / Dwayne Murphy
pagemi02,Mitchell Page,1977,1983,7,4.183512534117739,1.0,0.5976446477311056,7.93,9.37,6.06,1.8845171323795633,1.0,2383.0,0.0,1977,Hitter,OF,C01,6.06,1.0,61,1,0.13668615796750622,0.1121694047992745,Rickey Henderson / Mark McGwire / Dwayne Murphy
bartoda02,Daric Barton,2007,2014,8,3.3799873735329884,1.0,0.42249842169162355,8.9,9.27,5.51,1.8392012383226164,1.0,2085.0,0.0,2010,Hitter,1B,C05,5.51,1.0,62,2,0.738586800248848,0.27700224869523715,Eric Chavez / Tim Hudson / Barry Zito
rogerke01,Kenny Rogers,1998,1999,2,1.275030719550956,0.8039387308533918,0.637515359775478,9.23,9.23,7.4799999999999995,1.2946127946127945,1.0,7.0,358.0,1998,Pitcher,P,C03,7.4799999999999995,1.0,63,2,0.5377154568145885,0.26360324149744196,Eric Chavez / Tim Hudson / Barry Zito
custja01,Jack Cust,2007,2010,4,3.417070734556498,1.0,0.8542676836391245,9.22,9.22,3.31,2.0304877610568846,0.6924686192468619,2142.0,0.0,2007,Hitter,OF,C04,3.31,0.6924686192468619,64,2,0.7090585292842807,0.3236983774255957,Eric Chavez / Tim Hudson / Barry Zito
hernara02,Ramon Hernandez,1999,2003,5,3.2967689792014885,0.7802476944757761,0.6593537958402977,8.74,8.74,3.43,1.1471561781440736,0.4604026845637584,2139.0,0.0,2003,Hitter,C,C04,3.43,0.4604026845637584,65,2,0.6082994028566869,0.28548984043835424,Eric Chavez / Tim Hudson / Barry Zito
blantjo01,Joe Blanton,2004,2008,5,2.8208234647680754,0.8137998436278344,0.564164692953615,8.37,8.53,3.8,1.7992159524883753,0.7883817427385891,13.0,760.6666666666667,2005,Pitcher,P,C04,3.8,0.7883817427385891,66,2,0.6627079048409011,0.2705562900363133,Eric Chavez / Tim Hudson / Barry Zito
heathmi02,Mike Heath,1979,1985,7,4.448931709533892,0.80340549965417,0.635561672790556,8.059999999999999,8.52,2.92,1.47557419821258,0.6212765957446809,2653.0,0.0,1985,Hitter,C,C03,2.92,0.6212765957446809,67,1,0.2770072134957233,0.11460473013043049,Rickey Henderson / Mark McGwire / Dwayne Murphy
crosbbo01,Bobby Crosby,2003,2009,7,4.196374796000356,0.9886695090925973,0.5994821137143366,6.78,8.43,3.67,1.7044733787056323,0.7614107883817427,2657.0,0.0,2005,Hitter,SS,C04,3.67,0.7614107883817427,68,2,0.6535695189349847,0.31266154422777737,Eric Chavez / Tim Hudson / Barry Zito
